Name,street_address,city,state,zip_code,post_code,latitude,longitude,green
Sheraton Grand Los Angeles,711 S Hope St,Los Angeles,California,90017,90017-3803,34.0478628,-118.2583756,1
The Elan Hotel,8435 Beverly Blvd,Los Angeles,California,90048,90048-3415,34.0763418,-118.3744545,1
Embassy Suites Lompoc Central Coast,1117 N H St,Lompoc,California,93436,93436-8115,34.6558815,-120.4587609,1
Rodeway Inn & Suites Near Convention Center Anaheim,2145 S Harbor Blvd,Anaheim,California,92802,92802-3515,33.7943266,-117.9157234,0
Ramada Anaheim South ,2141 S Harbor Blvd,Anaheim,California,92802,92802-3515,33.7946245,-117.9160667,0
The Mayfair Hotel,1256 W 7th St,Los Angeles,California,90017,90017-2346,34.0519387,-118.2675999,0
Rodeway Inn Hollywood,6826 W Sunset Blvd,Los Angeles,California,90028,90028-7008,34.0976035,-118.3396967,0
Comfort Inn Near Hollywood Walk Of Fame ,7051 W Sunset Blvd,Los Angeles,California,90028,90028-7509,34.0983427,-118.3431357,0
Motel 6 Los Angeles Hollywood,1738 Whitley Ave,Los Angeles,California,90028,90028-4809,34.1028226,-118.3329079,0
Quality Inn Near Hollywood Walk Of Fame,1520 N La Brea Ave,Los Angeles,California,90028,90028-7004,34.0989422,-118.3440946,0
Days Inn Hollywood Near Universal Studios,7023 W Sunset Blvd,Los Angeles,California,90028,90028-7509,34.0983543,-118.3421313,0
The Standard Downtown LA ,550 S Flower St,Los Angeles,California,90071,90071-2501,34.050205,-118.2569793,0
BLVD Hotel & Suites,2010 N Highland Ave,Los Angeles,California,90068,90068-3239,34.1069572,-118.3368348,0
Best Western Plus Dragon Gate Inn,818 North Hill Street,Los Angeles,California,90012,90012-2395,34.0630623,-118.238797,0
Best Western Plus Glendale,2911 Colorado Boulevard,Los Angeles,California,90041,90041-1011,34.143177,-118.2282888,0
Travelodge Anaheim International,2060 S Harbor Blvd,Anaheim,California,92802,92802-3514,33.7969635,-117.9141942,0
Days Inn Anaheim Maingate,2200 S Harbor Blvd,Anaheim,California,92802,92802-3517,33.7927985,-117.9143274,0
Hilton Garden Inn Los Angeles Hollywood,2005 North Highland Avenue,Los Angeles,California,90068,90068-3238,34.1066257,-118.3378393,0
